Product_ID,Seasonality,Avg_Units_Sold,Seasonal_Buffer,Reorder_Point
P0016,Autumn,91.43,10,284.3
P0016,Spring,93.79,10,291.37
P0016,Summer,93.85,10,291.54
P0016,Winter,130.7,15,407.1
P0017,Autumn,93.77,10,291.31
P0017,Spring,93.7,10,291.1
P0017,Summer,93.07,10,289.2
P0017,Winter,93.83,10,291.48
P0031,Autumn,88.2,10,274.61
P0031,Spring,88.62,10,275.87
P0031,Summer,89.01,10,277.02
P0031,Winter,88.04,10,274.13
P0046,Autumn,94.61,10,293.82
P0046,Spring,94.03,10,292.08
P0046,Summer,93.09,10,289.26
P0046,Winter,130.64,15,406.93
P0057,Autumn,94.23,10,292.69
P0057,Spring,94.14,10,292.41
P0057,Summer,93.72,10,291.17
P0057,Winter,130.72,15,407.17
P0061,Autumn,91.87,10,285.61
P0061,Spring,92.86,10,288.59
P0061,Summer,92.97,10,288.92
P0061,Winter,131.64,15,409.91
P0066,Autumn,93.44,10,290.31
P0066,Spring,94.07,10,292.22
P0066,Summer,92.79,10,288.36
P0066,Winter,130.04,15,405.13
P0067,Autumn,92.74,10,288.23
P0067,Spring,93.98,10,291.93
P0067,Summer,94.9,10,294.69
P0067,Winter,91.96,10,285.88
P0068,Autumn,86.85,10,270.55
P0068,Spring,86.55,10,269.65
P0068,Summer,87.34,10,272.01
P0068,Winter,87.18,10,271.55
P0069,Autumn,92.9,10,288.69
P0069,Spring,91.92,10,285.77
P0069,Summer,92.94,10,288.83
P0069,Winter,129.94,15,404.81
P0070,Autumn,88.42,10,275.25
P0070,Spring,86.91,10,270.74
P0070,Summer,89.12,10,277.35
P0070,Winter,86.57,10,269.7
P0079,Autumn,93.11,10,289.34
P0079,Spring,95.11,10,295.32
P0079,Summer,92.78,10,288.35
P0079,Winter,91.88,10,285.63
P0083,Autumn,91.78,10,285.33
P0083,Spring,91.67,10,285.01
P0083,Summer,92.98,10,288.95
P0083,Winter,93.01,10,289.04
P0085,Autumn,87.81,10,273.43
P0085,Spring,88.17,10,274.5
P0085,Summer,88.63,10,275.88
P0085,Winter,86.81,10,270.43
P0094,Autumn,93.67,10,291.0
P0094,Spring,92.41,10,287.24
P0094,Summer,121.2,15,378.59
P0094,Winter,92.59,10,287.78
P0096,Autumn,94.47,10,293.41
P0096,Spring,94.21,10,292.64
P0096,Summer,92.01,10,286.02
P0096,Winter,91.93,10,285.78
P0116,Autumn,94.21,10,292.62
P0116,Spring,93.45,10,290.35
P0116,Summer,91.14,10,283.42
P0116,Winter,92.82,10,288.46
P0125,Autumn,93.74,10,291.21
P0125,Spring,92.31,10,286.94
P0125,Summer,93.73,10,291.19
P0125,Winter,130.3,15,405.89
P0126,Autumn,91.49,10,284.48
P0126,Spring,94.43,10,293.28
P0126,Summer,91.49,10,284.47
P0126,Winter,127.51,15,397.52
P0129,Autumn,93.46,10,290.38
P0129,Spring,92.81,10,288.43
P0129,Summer,92.8,10,288.4
P0129,Winter,92.31,10,286.92
P0133,Autumn,93.83,10,291.48
P0133,Spring,93.93,10,291.79
P0133,Summer,92.98,10,288.94
P0133,Winter,130.57,15,406.71
P0149,Autumn,91.74,10,285.23
P0149,Spring,91.11,10,283.33
P0149,Summer,93.11,10,289.33
P0149,Winter,94.05,10,292.15
P0153,Autumn,93.28,10,289.83
P0153,Spring,92.57,10,287.71
P0153,Summer,93.86,10,291.57
P0153,Winter,92.47,10,287.41
P0159,Autumn,88.04,10,274.11
P0159,Spring,88.85,10,276.54
P0159,Summer,87.26,10,271.79
P0159,Winter,89.28,10,277.83
P0166,Autumn,93.24,10,289.73
P0166,Spring,93.6,10,290.81
P0166,Summer,120.02,15,375.05
P0166,Winter,92.58,10,287.74
P0171,Autumn,90.15,10,280.46
P0171,Spring,88.02,10,274.06
P0171,Summer,88.6,10,275.8
P0171,Winter,89.5,10,278.5
P0175,Autumn,89.1,10,277.29
P0175,Spring,88.86,10,276.57
P0175,Summer,87.64,10,272.91
P0175,Winter,88.05,10,274.16
P0178,Autumn,91.92,10,285.76
P0178,Spring,94.04,10,292.11
P0178,Summer,94.03,10,292.09
P0178,Winter,130.0,15,405.01
P0183,Autumn,88.66,10,275.98
P0183,Spring,90.42,10,281.27
P0183,Summer,89.89,10,279.68
P0183,Winter,88.41,10,275.22
P0187,Autumn,92.88,10,288.63
P0187,Spring,92.8,10,288.39
P0187,Summer,93.76,10,291.28
P0187,Winter,131.06,15,408.18
