Store_ID,Region,Product_ID,Category,Seasonality,Avg_Units_Sold,Season_Intensity
S001,East,P0016,Clothing,Autumn,89.97,Moderate
S001,East,P0016,Clothing,Spring,96.79,Moderate
S001,East,P0016,Clothing,Summer,90.77,Moderate
S001,East,P0016,Clothing,Winter,128.72,High
S001,East,P0017,Toys,Autumn,97.42,Moderate
S001,East,P0017,Toys,Spring,95.21,Moderate
S001,East,P0017,Toys,Summer,91.67,Moderate
S001,East,P0017,Toys,Winter,94.41,Moderate
S001,East,P0031,Electronics,Autumn,79.12,Moderate
S001,East,P0031,Electronics,Spring,84.38,Moderate
S001,East,P0031,Electronics,Summer,90.13,Moderate
S001,East,P0031,Electronics,Winter,88.63,Moderate
S001,East,P0046,Clothing,Autumn,99.69,Moderate
S001,East,P0046,Clothing,Spring,93.09,Moderate
S001,East,P0046,Clothing,Summer,86.79,Moderate
S001,East,P0046,Clothing,Winter,129.03,High
S001,East,P0057,Clothing,Autumn,94.81,Moderate
S001,East,P0057,Clothing,Spring,87.59,Moderate
S001,East,P0057,Clothing,Summer,97.05,Moderate
S001,East,P0057,Clothing,Winter,136.79,High
S001,East,P0061,Clothing,Autumn,85.3,Moderate
S001,East,P0061,Clothing,Spring,95.4,Moderate
S001,East,P0061,Clothing,Summer,105.74,High
S001,East,P0061,Clothing,Winter,125.74,High
S001,East,P0066,Clothing,Autumn,88.85,Moderate
S001,East,P0066,Clothing,Spring,91.34,Moderate
S001,East,P0066,Clothing,Summer,102.19,High
S001,East,P0066,Clothing,Winter,134.92,High
S001,East,P0067,Furniture,Autumn,95.29,Moderate
S001,East,P0067,Furniture,Spring,90.1,Moderate
S001,East,P0067,Furniture,Summer,98.51,Moderate
S001,East,P0067,Furniture,Winter,90.68,Moderate
S001,East,P0068,Electronics,Autumn,83.79,Moderate
S001,East,P0068,Electronics,Spring,91.0,Moderate
S001,East,P0068,Electronics,Summer,92.92,Moderate
S001,East,P0068,Electronics,Winter,88.45,Moderate
S001,East,P0069,Clothing,Autumn,86.57,Moderate
S001,East,P0069,Clothing,Spring,87.28,Moderate
S001,East,P0069,Clothing,Summer,89.57,Moderate
S001,East,P0069,Clothing,Winter,136.13,High
S001,East,P0070,Electronics,Autumn,85.31,Moderate
S001,East,P0070,Electronics,Spring,93.64,Moderate
S001,East,P0070,Electronics,Summer,85.34,Moderate
S001,East,P0070,Electronics,Winter,82.75,Moderate
S001,East,P0079,Furniture,Autumn,98.18,Moderate
S001,East,P0079,Furniture,Spring,89.17,Moderate
S001,East,P0079,Furniture,Summer,96.59,Moderate
S001,East,P0079,Furniture,Winter,96.46,Moderate
S001,East,P0083,Toys,Autumn,88.31,Moderate
S001,East,P0083,Toys,Spring,97.37,Moderate
S001,East,P0083,Toys,Summer,96.92,Moderate
S001,East,P0083,Toys,Winter,86.26,Moderate
S001,East,P0085,Electronics,Autumn,89.54,Moderate
S001,East,P0085,Electronics,Spring,89.17,Moderate
S001,East,P0085,Electronics,Summer,88.56,Moderate
S001,East,P0085,Electronics,Winter,90.24,Moderate
S001,East,P0094,Groceries,Autumn,87.16,Moderate
S001,East,P0094,Groceries,Spring,89.03,Moderate
S001,East,P0094,Groceries,Summer,127.33,High
S001,East,P0094,Groceries,Winter,90.25,Moderate
S001,East,P0096,Toys,Autumn,90.56,Moderate
S001,East,P0096,Toys,Spring,96.29,Moderate
S001,East,P0096,Toys,Summer,92.61,Moderate
S001,East,P0096,Toys,Winter,90.37,Moderate
S001,East,P0116,Furniture,Autumn,99.71,Moderate
S001,East,P0116,Furniture,Spring,98.55,Moderate
S001,East,P0116,Furniture,Summer,90.9,Moderate
S001,East,P0116,Furniture,Winter,97.44,Moderate
S001,East,P0125,Clothing,Autumn,95.02,Moderate
S001,East,P0125,Clothing,Spring,96.17,Moderate
S001,East,P0125,Clothing,Summer,91.48,Moderate
S001,East,P0125,Clothing,Winter,134.8,High
S001,East,P0126,Clothing,Autumn,89.43,Moderate
S001,East,P0126,Clothing,Spring,102.16,High
S001,East,P0126,Clothing,Summer,91.98,Moderate
S001,East,P0126,Clothing,Winter,129.84,High
S001,East,P0129,Furniture,Autumn,97.24,Moderate
S001,East,P0129,Furniture,Spring,91.62,Moderate
S001,East,P0129,Furniture,Summer,92.29,Moderate
S001,East,P0129,Furniture,Winter,91.87,Moderate
S001,East,P0133,Clothing,Autumn,85.8,Moderate
S001,East,P0133,Clothing,Spring,96.12,Moderate
S001,East,P0133,Clothing,Summer,91.02,Moderate
S001,East,P0133,Clothing,Winter,137.26,High
S001,East,P0149,Furniture,Autumn,87.29,Moderate
S001,East,P0149,Furniture,Spring,92.63,Moderate
S001,East,P0149,Furniture,Summer,89.29,Moderate
S001,East,P0149,Furniture,Winter,91.57,Moderate
S001,East,P0153,Furniture,Autumn,88.0,Moderate
S001,East,P0153,Furniture,Spring,95.47,Moderate
S001,East,P0153,Furniture,Summer,103.15,High
S001,East,P0153,Furniture,Winter,90.42,Moderate
S001,East,P0159,Electronics,Autumn,91.79,Moderate
S001,East,P0159,Electronics,Spring,95.55,Moderate
S001,East,P0159,Electronics,Summer,84.8,Moderate
S001,East,P0159,Electronics,Winter,87.31,Moderate
S001,East,P0166,Groceries,Autumn,94.06,Moderate
S001,East,P0166,Groceries,Spring,98.7,Moderate
S001,East,P0166,Groceries,Summer,126.9,High
S001,East,P0166,Groceries,Winter,81.89,Moderate
S001,East,P0171,Electronics,Autumn,91.06,Moderate
S001,East,P0171,Electronics,Spring,87.83,Moderate
S001,East,P0171,Electronics,Summer,81.38,Moderate
S001,East,P0171,Electronics,Winter,90.88,Moderate
S001,East,P0175,Electronics,Autumn,87.32,Moderate
S001,East,P0175,Electronics,Spring,92.95,Moderate
S001,East,P0175,Electronics,Summer,91.29,Moderate
